first name;last name;other;title;nachruf/tode;jub;issue_date;Geburt/Tod;ID
Jahrbuch;H-Gesellschaft;;-;-;-;22.4.77;-;MBNR.8.PER.101
Geore;Herz-Shikmoni;“dachruf(ilk);-;-;-;16.7.76;-;MBNR.8.PER.102
iheodor;Herzl;(Im  ächatten  dreier  Arfären)  (Tobias);-;-;-;5.12.75;-;MBNR.8.PER.103
;Hess;loses  loo.iolestag  (Tobias)  /5/;-;-;-;26.3.75;-;MBNR.8.PER.104
Hans;Heydorn;Joachin  (55);-;Nachruf;-;10.1.75;-;MBNR.8.PER.105
!sriel;Hildesheimer;Zionist.Denkschrift(wobias);-;-;-;7.3.75;-;MBNR.8.PER.106
;Hirschmann;kritz(Haifa)  75;-;-;-;23.12.77;-;MBNR.8.PER.107
Hugo;Hofwannsthal;v.  Stellg.z.Judentun(simon);-;-;-;14.10.77;-;MBNR.8.PER.108
;Holder-laube;la  chel  nachruf;-;-;-;14.2.75;-;MBNR.8.PER.109
;Hollaender;Friedrich  (Schlarerkompänist)  nachruf;-;-;-;30.1.76;-;MBNR.8.PER.110
Rachel;Holländer;Nachruf(&C);-;-;-;10.1.75;-;MBNR.8.PER.111
Vr.Paul;lolzer;Pinchas  1l.Todestag;-;-;-;29.10.75;-;MBNR.8.PER.112
;Isaac;Eduard  95  21.106,77;Dr.;-;-;-;-;MBNR.8.PER.113
Ludwig;JaTtobowski;s.ılved  Stern  13.75;-;-;-;-;-;MBNR.8.PER.114
Joseph;Jaschuri;90;-;-;-;23.12.77;-;MBNR.8.PER.115
Judith;Jaschuvi;Kachruf;-;-;-;31.12.76;-;MBNR.8.PER.116
Carl;Jung;GC.  Freud  u.J.  (Simon);-;-;-;26.9.75;-;MBNR.8.PER.117
;Kafka;Frantisck(Prager  Geweindevorsitzender);-;-;-;18.4.75;-;MBNR.8.PER.118
Pranz;Kafka;Briefe  an  Ottla(Ht);-;-;-;11.4.75;-;MBNR.8.PER.119
liascha;Kaleko;(gest.inde  74?)  (16  Ted;-;Nachruf;-;31.1.75;-;MBNR.8.PER.120
David;Kaelter;70  ;-;-;-;25.6.76;-;MBNR.8.PER.121
Charles;Kapralik;80  (MI);-;-;-;25.4.75;-;MBNR.8.PER.122
;Kastein;Josef  Biographisches  (Dreyer);-;-;-;28.1.77;-;MBNR.8.PER.123
iloshe;Keren(Kraemer);20.Todestag  (HT);Dr.;-;-;8.8.75;-;MBNR.8.PER.124
Uri;Kessari;Erinnerungen(Tobias);-;-;-;3.10.75;-;MBNR.8.PER.125
Arie;Kindler;Rez.iliinzen  Erez  Israels(Strauss);-;-;-;2.4.76;-;MBNR.8.PER.126
Eson;Kisch;Erwin  in  nemoriam(EG);-;-;-;2.5.75;-;MBNR.8.PER.127
iargot;Klausner;70  (Geis);-;-;-;31.10.75;-;MBNR.8.PER.128
;Kleemann;Justin  -[odesanzeige;-;-;-;24.12.76;-;MBNR.8.PER.129
Harry;Knopf;26,.3.76;Dr.;Todesanzeige;-;-;-;MBNR.8.PER.130
;Kokoschla;Oskar  90  (Strauss);-;-;-;21.5.76;-;MBNR.8.PER.131
Hugo;Konn;nachruf  kanowitz;Dr.;-;-;3.12.76;-;MBNR.8.PER.132
Artur;Koestler;Kez,Khazaren-Buch(tobias);-;-;-;11.2.77;-;MBNR.8.PER.133
“emer;Kraft;80  (simon);Dr.;-;-;30.4.76;-;MBNR.8.PER.134
zvi;Kraener;5.Todestag(ild);-;-;-;18.11.77;-;MBNR.8.PER.135
Karl;Kraus;Kussische  Würdigung;-;-;-;1.4.77;-;MBNR.8.PER.136
Trude;Krolik;iachruf  (Lohn)  10,9,76;-;-;-;-;-;MBNR.8.PER.137
ötto;Küster;70  (HT);Dr.;-;-;4.2.77;-;MBNR.8.PER.138
Rudolf;Küsterneier;s.Lüth-Artikel;-;-;-;23.1.77;-;MBNR.8.PER.139
Josef;Lamn;Todesnachricht;Dr.;-;-;3.6.76;-;MBNR.8.PER.140
WHaftali;Lamn;;Dr.;Todesanzeige;-;20.2.76;-;MBNR.8.PER.141
dör.Paul;Landau;25.Todestag;-;-;-;19.3.76;-;MBNR.8.PER.142
Georg;Landauer;(80,in  memorian)HT;-;-;-;14.11.75;-;MBNR.8.PER.143
Siegfried;Landsliut;Todesnachricht;-;-;-;14.2.75;-;MBNR.8.PER.144
;Lange;Dr  ;Dr.;-;-;-;-;MBNR.8.PER.145
Eran;Laor;75  HT;-;-;-;25.5.7;-;MBNR.8.PER.146
;Lassalle;Ferdinand  150.Geburtstag(EG);-;-;-;26.3.75;-;MBNR.8.PER.147
ör.Ernst;Lehmann;75  (IW.);-;-;-;3.6.77;-;MBNR.8.PER.148
Lotte;Leiimann;(Sängerin)  Todesnachricht;-;-;-;3.9.76;-;MBNR.8.PER.149
;Lehmann;kudolf  (Bildhauer)  iachruf  LCohn;-;-;-;4.3.77;-;MBNR.8.PER.150
Alexander;Lernet-Holenia;Todesnachricht;-;-;-;16.7.7656;-;MBNR.8.PER.151
Carlo;Levi;Wodesnachricht;-;-;-;17.1.75;-;MBNR.8.PER.152
Shaul;Lewin;70;Dr.;-;-;31.10.75;-;MBNR.8.PER.153
;Lewinson;Fritz  A,  70  ;-;-;-;21.5.76;-;MBNR.8.PER.154
Julius;Lewy;"Julius(""Livius""  llaifa)";-;-;-;-;-;MBNR.8.PER.155
Erwin;Lichtenstein;75  (E.R.);Dr.;-;-;20.2.76;-;MBNR.8.PER.156
;Liebermann;Frof,kax  s.Artikel  ib,Paul  Landau;-;-;-;19.3.7656;-;MBNR.8.PER.157
Ephraim;Lilien;4.  künstler  u.Zionist(Strauss);-;-;-;5.9.75;-;MBNR.8.PER.158
Sol;Liptzin;75  (EG);Prof.;-;-;23.7.76;-;MBNR.8.PER.159
Ellen;Littmann;13,.6.75;Dr.;Nachruf;-;-;-;MBNR.8.PER.160
Giorı;Lotan;1.Todestag  (ABergmann)  24,.1.75;Dr.;-;-;-;-;MBNR.8.PER.161
br.Gertmumd;Luckner;75  IT  26,9,75;-;-;-;-;-;MBNR.8.PER.162
Gerda;Luft;Rez.ihres  Heimkehr-Buchs(Leshem);-;-;-;20.5.77;-;MBNR.8.PER.163
Erich;Lith;75  HT;-;-;-;28.1.77;-;MBNR.8.PER.164
Charles;Lutz;Todesnachricht  28,2.75;-;-;-;-;-;MBNR.8.PER.165
J.L.;Hagnes;(H.Bersmann);Dr.;-;-;26.3.75;-;MBNR.8.PER.166
;Kaimon;Jakob  (Stenograph)  (MG);-;-;-;5.3.76;-;MBNR.8.PER.167
Katja;Hann;iiemoiren(Berendsohn);-;-;-;3.1.75;-;MBNR.8.PER.168
Klaus;Hann;Rez.Briefe  (Rosenstein);-;-;-;15.10.76;-;MBNR.8.PER.169
#ichael;kann;Todesnachricht;-;-;-;14.1.77;-;MBNR.8.PER.170
.Geburtstag;loo;HT;-;-;-;6.6.75;-;MBNR.8.PER.171
über;ı;Zionisms;-;-;-;12.12.75;-;MBNR.8.PER.172
Wwalther;Kannheim;80;Dr.;-;-;3.10.75;-;MBNR.8.PER.173
kax;Harcus;85  (E.R.);Prof.;-;-;28.10.77;-;MBNR.8.PER.174
Heinrich;Hargulies;Ch,  85  (E.R.);-;-;-;8.8.75;-;MBNR.8.PER.175
Ur.imst;Harkouicz;75;-;-;-;12.3.76;-;MBNR.8.PER.176
Karl;Harx;versteigertes  :ianuskript;-;-;-;8.7.77;-;MBNR.8.PER.177
viarsarete;larx;19,8.77;-;Todesanzeige;-;-;-;MBNR.8.PER.178
lilde;Hatschke;;-;Todesanzeige;-;25.11.77;-;MBNR.8.PER.179
Kurt;kay;80  HIT;-;-;-;13.83.76;-;MBNR.8.PER.180
kabb.Imaz;Naybaum;RH    18,.3.77;-;Nachruf;-;-;-;MBNR.8.PER.181
Ludwig;hayer;938;-;-;-;11.3.77;-;MBNR.8.PER.182
Ahron;Heged;"Rez.Roman  ""Heinz  u'beno""  (Tobias)";-;-;-;3.6.77;-;MBNR.8.PER.183
Golda;jieir;Rez.iiemoiren  (E.R.);-;-;-;3.10.75;-;MBNR.8.PER.184
Yehudi;Kenuhin;liemoiren(Gradenwitz)  [al  ene;-;-;-;28.1.77;-;MBNR.8.PER.185
Giacomo;heyerbeer;Rez.Briefe,iagebicher  (RW);-;-;-;14.4.76;-;MBNR.8.PER.186
kurt;keyerowitz;70  (EG)  23,7.76;Dr.;-;-;-;-;MBNR.8.PER.187
Siegfried;moses;1,Todestag  HT;-;-;-;10.1.75;-;MBNR.8.PER.188
Paul;Mühsam;loo.Geburtstag  HT;Dr.;-;-;20.3.76;-;MBNR.8.PER.189
Börries;künchhausen;v.  30.Tcdestag(&6);-;-;-;21.2.75;-;MBNR.8.PER.190
;Nachaanscohn;Prof,David  Ref,.ioses-iiemorial  Lecture;-;-;-;10.12.76;-;MBNR.8.PER.191
Bertha;Natanson;Dr  Bertha(Haifa);Dr.;-;-;-;-;MBNR.8.PER.192
Abie;Nathan;(Lilienfeld)  14,1.77;-;-;-;-;-;MBNR.8.PER.193
Schmuel;Nathan;Rabb  Schmuel;Rabb.;-;-;-;-;MBNR.8.PER.194
J.E.;Nebenzahl;70  (Gerling);Dr.;-;-;21.10.77;-;MBNR.8.PER.195
ja;Neter;hachruf  MTP  30,1,76;-;-;-;-;-;MBNR.8.PER.196
;Neuberger;Josef  (Disseldorf)Todesanzeige;Dr.;-;-;21.1.77;-;MBNR.8.PER.197
Hertha;ileufeld;31,1.75;-;Todesanzeige;-;-;-;MBNR.8.PER.198
kobert;Wewsann;;-;Todesanzeige;-;17.1.75;-;MBNR.8.PER.199
Ernst;Noam(liussbaun);Todesarzeige;-;-;-;16.12.77;-;MBNR.8.PER.200
Dbr.Baruch;Ophir;"""Pinkas  Bavarfa""  Rez.Rosenblüth  26,3.75";-;-;-;-;-;MBNR.8.PER.201
Israel;Oppenheimer;65  ;-;-;-;27.6.75;-;MBNR.8.PER.202
Israel;Osterer;25,8,77;Dr.;Nachruf;-;-;-;MBNR.8.PER.203
Siegfried;Östruowsiki;96  12,9.77;Prof.;-;-;-;-;MBNR.8.PER.204
Erwin;Falmon;Jacob;-;Nachruf;-;29.4.77;-;MBNR.8.PER.205
Itamar;Parnes;E.R.;-;Nachruf;-;14.4.76;-;MBNR.8.PER.206
Cedoen;Fartos;ıachruf  (Gradenwitz);-;-;-;15.7.77;-;MBNR.8.PER.207
ludwig;Pinner;85  (HT,Kanowitz);Dr.;-;-;7.2.75;-;MBNR.8.PER.208
