first name;last name;other;title;nachruf/tode;jub;issue_date;Geburt/Tod;ID
Giora;Lotan(Iubinski);10,Todestaz(Thea  Nathan);-;-;-;27.1.84;-;MBNR.11.PER.78
Ginter;löwenstein;70  (P.Alesberg);-;-;-;9.12.83;-;MBNR.11.PER.79
Jullus;Loewenstein;Dr  Jullus;Dr.;-;-;-;-;MBNR.11.PER.80
Iulnig;löwenstein;80  (Capell);Dr.;-;-;4.3.83;-;MBNR.11.PER.81
E.G.;Lowenthal;;Dr.;-;-;-;-;MBNR.11.PER.82
ceda;luft;85;-;-;-;15.4.83;-;MBNR.11.PER.83
Hartin;Luther;und  die  Juden  (1älienfeld);-;-;-;11.11.83;-;MBNR.11.PER.84
Alma;Hahler;Blogr.Wessling  Rez.A«Schwarz)  N;-;-;-;26.10.84;-;MBNR.11.PER.85
Gustav;Hohler;(Leonard  Berustein)  Er;-;-;-;13.4.84;-;MBNR.11.PER.86
Arile;Halmon;"Kirchen  der  BRD  """;Dr.;-;-;1.3.85;-;MBNR.11.PER.87
Walter;Hannhoim;S,  Nachruf(Porat);Dr.;-;-;29.6.84;-;MBNR.11.PER.88
;Yarx;Karl  lvo.  Todestag  (Capell);-;-;-;28.3.83;-;MBNR.11.PER.89
Ahron;Heged;"""Kinder  v,Selvino""  Rez,Toblas  |  :";-;-;-;9.11.84;-;MBNR.11.PER.90
;Melzer;Jcoseph(Verleger)  \;-;Nachruf;-;27.1.84;-;MBNR.11.PER.91
;Nichaells-Stern;Eva  80  (Freoden)  18.1,85    s.a.  Jugend-Alljah;-;-;-;-;-;MBNR.11.PER.92
Sir_Noaea;Honteflort;200.Geburtstag(Lowenthal)  |  \.;-;-;-;10.10.84;-;MBNR.11.PER.93
llans;Morjtz;Ch.  3  N;-;Todesanzeige;-;4.1.85;-;MBNR.11.PER.94
Siegfried;Moses;10,Todestag  u:;Dr.;-;-;13.1.84;-;MBNR.11.PER.95
;Mihsam;Erich  50,Todestag  (m.Notiz  Rothschild)  |;-;-;-;26.10.84;-;MBNR.11.PER.96
;Nachmangohn;Irof,David  (Frof.5.Sanbursky  )  %  12.88;-;Nachruf;-;-;-;MBNR.11.PER.97
Doron;Niederland;Jid.Aerzte  a,Deutschland  Rez,Prof,  Steinitz;-;-;-;6.4.84;-;MBNR.11.PER.98
Amds;Os;Israel,e,Wintermärchen  Rez,Toblas  [;-;-;-;7.1.83;-;MBNR.11.PER.99
Rolf;Fauls;Deutschland  u,lerael  N;Dr.;-;-;15.2.85;-;MBNR.11.PER.100
;Rubinstein;Arthur  Rez,M“molren  durch  Grademitz);-;-;-;28.1.83;-;MBNR.11.PER.101
;Scliatiker;Frof.Chaim  Judentum  in  Geschichtslehrblichern  der  BRD  18,.1,85;-;-;-;-;-;MBNR.11.PER.102
;Scholem;Forf.  Gershom  Rede  über  Israel  18,2,83;-;-;-;-;-;MBNR.11.PER.103
;Schwerin;Ldwig(Maler)  29,7.83;-;Nachruf;-;-;-;MBNR.11.PER.104
frof.Oskar;Seidlin;llachruf(Lowenthal)  18,1,.85;-;-;-;-;-;MBNR.11.PER.105
Trof.Emst;Simbn;A.  85;-;-;-;16.3.84;-;MBNR.11.PER.106
;Sobol;"Joshua  ""Ghetto""  Rez,";-;-;-;27.7.84;-;MBNR.11.PER.107
Naftali;Sann;Dr  Naftali;Dr.;-;-;-;-;MBNR.11.PER.108
Mands;Sperber;Rede  in  Frankfurt  >;-;-;-;28.10.83;-;MBNR.11.PER.109
Gabriel;Stern;(Ben-Chorin);-;Nachruf;-;10.6.83;-;MBNR.11.PER.110
Manfred;Sturmann;80  (Ben-Chorin);-;-;-;8.4.83;-;MBNR.11.PER.111
Nenrietta;Szold;Briefe  an  E,NMichaells;-;-;-;9.11.84;-;MBNR.11.PER.112
;Tal;Frof,  Uri  Todesanzeiße;-;-;-;15.6.84;-;MBNR.11.PER.113
;Tennenibaum;"Silvia  ""Strafßen  v.gestern""  Rez,Lillenfeld";-;-;-;31.8.84;-;MBNR.11.PER.114
;Theilhaber;Fellx  A,  loo,Geburtstag(Capell)  |1  ,';Dr.;-;-;29.9.8454;-;MBNR.11.PER.115
;Timerman;"Jaoobo  ""Israels  län@ster  Krieg""  Rez,  Freeden  a  f";-;-;-;-;-;MBNR.11.PER.116
Kurt;Tucholsky;"Brief  an  das  Jahr  1985  ;";-;-;-;4.1.85;-;MBNR.11.PER.117
Hosche;Unna;Relig.Farteien  Israels  Rez,  Toblas  26,9,84  |;-;-;-;-;-;MBNR.11.PER.118
Richard;Wagner;100,Todestag(Gradenwitz)  2,83;-;-;-;-;-;MBNR.11.PER.119
;Walk;Prof.  Joseph  70  (E.A,Simon)  20.1,84  0,;-;-;-;-;-;MBNR.11.PER.120
;Wassermann;Ja:ob  50.  Todestag  N  z;-;-;-;30.12.83;-;MBNR.11.PER.121
;Weissenstein;Fritz  Nachruf(hoitasch)  IX  fi  j  FR;-;-;-;14.10.83;-;MBNR.11.PER.122
