first name;last name;other;title;nachruf/tode;jub;issue_date;Geburt/Tod;ID
R.M.;Rilke;50.Todestag  Günzbuerger);-;-;-;28.12.56;-;MBNR.2.PER.135
Josef;Rosenbitith;60;-;-;-;28.5.52;-;MBNR.2.PER.136
Karl;Rosenfeld;;-;Nachruf;-;14.4.50;-;MBNR.2.PER.137
Arthur;Ruppin;R-Haus;-;-;-;24.12.45;-;MBNR.2.PER.138
Nelly;Sachs;Frauen-Lyrik  21.lo.49;-;-;-;-;-;MBNR.2.PER.139
'..'alter;Samuel;;-;Nachruf;-;11.1.46;-;MBNR.2.PER.140
Eduard;Sänger;(Kraft);-;-;-;8.9.61;-;MBNR.2.PER.141
Isidor;Schalit;75  Antal);-;-;-;14.6.46;-;MBNR.2.PER.142
Friedr.v.;Schiller;200.Geburtstag;-;-;-;15.11.59;-;MBNR.2.PER.143
Alfred;Schindler;70;-;-;-;5.9.54;-;MBNR.2.PER.144
Max;Schioessinger;;-;-;-;16.6.44;-;MBNR.2.PER.145
Salman;Schocken;S.  Markowitz);-;-;-;21.11.47;-;MBNR.2.PER.146
Gershom;Schölern;Flusser);-;-;-;21.4.61;-;MBNR.2.PER.147
Max;Schornstein;75;-;-;-;9.2.45;-;MBNR.2.PER.148
Adolf;Schoyer;80;-;-;-;15.8.52;-;MBNR.2.PER.149
Alfred;Schwarz;60  SHirsch)	/6/....;-;-;-;1.5.46;-;MBNR.2.PER.150
Karl;Schwarz;(Brief)11.4.47(Kirschner);-;-;-;-;-;MBNR.2.PER.151
Rudolf;Schwarz;Knatsch);-;-;-;-;-;MBNR.2.PER.152
;Schweitzer;Albert  Mi'au);-;-;-;17.4.53;-;MBNR.2.PER.153
Werner;Senator;;-;-;-;11.11.55;-;MBNR.2.PER.154
George;Shaw;B.  90  Frango);-;-;-;2.8.46;-;MBNR.2.PER.155
Georg;Simmel;HLGoldschmidt);-;-;-;3.4.59;-;MBNR.2.PER.156
Ernst;Simon;Rezens.30.5.47(Wilhelm);-;-;-;-;-;MBNR.2.PER.157
Mosche;Smilanski;s.Landw.Problem);-;-;-;12.1.40;-;MBNR.2.PER.158
Abraham;Sonne;Rezens.18,5.53(Kellner);-;-;-;-;-;MBNR.2.PER.159
Leopold;Sonnemann;s.Frankft.Zeitg.;-;-;-;22.3.57;-;MBNR.2.PER.160
Gerson;Stern;hebräisch;-;-;-;13.6.47;-;MBNR.2.PER.161
;Stem-Täubler;Selma  Rezens.2.lo.59(WLewin);-;-;-;-;-;MBNR.2.PER.162
Eli;Straus;fliid.Rundschau:;-;-;-;20.6.33;-;MBNR.2.PER.163
Ge;Strauss;0rg  Rezens.11.12.59(Arnold);-;-;-;-;-;MBNR.2.PER.164
Ludwig;Strauss;Rezens.4.4.58(Kraf  t);-;-;-;-;-;MBNR.2.PER.165
Richard;Strauss;;-;-;-;12.12.52;-;MBNR.2.PER.166
Margarete;Susman;Kezens.l3.2.53(HLGoldschmidt);-;-;-;-;-;MBNR.2.PER.167
Chaim;Tartakower;;-;-;-;5.5.44;-;MBNR.2.PER.168
Max;Tau;ht)	z;-;-;-;23.5.58;-;MBNR.2.PER.169
Felix;Theilhaber;A.  Rezens.1.2.46;-;-;-;-;-;MBNR.2.PER.170
Helene;Thon;Hanna;-;Nachruf;-;16.4.54;-;MBNR.2.PER.171
Ludwig;Tietz;Jüd.Rundschau:;-;-;-;7.11.33;-;MBNR.2.PER.172
Arnold;Toynbee;3c.6.61;-;-;-;-;-;MBNR.2.PER.173
Shaul;Tschernichowsky;Jüd.Rundschau:;-;-;-;20.8.35;-;MBNR.2.PER.174
Kurt;Tucholsky;Reifer);-;-;-;30.3.51;-;MBNR.2.PER.175
Walter;Turnowsky;50  Blumenfeld);-;-;-;25.7.47;-;MBNR.2.PER.176
Moses;Waldmann;J1.12.54(RW);-;Nachruf;-;-;-;MBNR.2.PER.177
Otto;Warburg;75  Jüd.Rundschau;Prof.;-;-;20.7.34;-;MBNR.2.PER.178
Oscar;Wassermann;Jüd,Rundschau:;-;-;-;14.9.34;-;MBNR.2.PER.179
Chaim;Weizmann;70;-;-;-;3.12.43;-;MBNR.2.PER.180
Alfred;Wiener;Library  Gottgetreu);-;-;-;13.9.57;-;MBNR.2.PER.181
Max;Wiener;Jiid.Rundschau:2.2.34(Simon)/23.3.34;Rabb.;-;-;-;-;MBNR.2.PER.182
Kurt;Wilhelm;Prof.in  Fkft.31.7.59(EGL);-;-;-;-;-;MBNR.2.PER.183
Richard;Willstätter;RW);-;-;-;2.3.51;-;MBNR.2.PER.184
Fritz;Wisten;Freeden)s.Reinhardt;-;-;-;8.2.46;-;MBNR.2.PER.185
Richard;Wolfheim;;-;Nachruf;-;5.4.46;-;MBNR.2.PER.186
Curt;Wörmann;Vortrag;-;-;-;10.4.53;-;MBNR.2.PER.187
Siddy;Wronsky;60;-;-;-;16.7.43;-;MBNR.2.PER.188
Theodor;Zlosisti;60  Jiid,Rundschau;-;-;-;16.2.34;-;MBNR.2.PER.189
Hermann;Zondek;60  Wilhelm);-;-;-;29.8.47;-;MBNR.2.PER.190
Hugo;Zuckermann;Jüd.Rundschau  Sturmann);-;-;-;21.12.34;-;MBNR.2.PER.191
Arnold;Zweig;BenChorin);-;-;-;26.11.43;-;MBNR.2.PER.192
Stefan;Zweig;Gradenwitz);-;-;-;11.9.59;-;MBNR.2.PER.193
