first name;last name;other;title;nachruf/tode;jub;issue_date;Geburt/Tod;ID
Ernst;Berent;To;-;-;-;27.12.57;-;MBNR.1.PER.87
klfriede;Bergel-Gronemann;70;-;-;-;23.1.55;-;MBNR.1.PER.88
Alfred;Berger;;-;Nachruf;-;5.1.40;-;MBNR.1.PER.89
Beate;Berger;ilachruf(Bergel-Gr.);-;-;-;31.5.40;-;MBNR.1.PER.90
Bertha;Berger;To;-;-;-;21.6.46;-;MBNR.1.PER.91
Else;Berger;"(""Ahavah"")  «achruf";-;-;-;8.3.46;-;MBNR.1.PER.92
Eugen;Berger;24/1951  80;Dr.;-;-;-;-;MBNR.1.PER.93
Fritz;Berger;(Nathania)  12/1952  50;Dr.;-;-;-;-;MBNR.1.PER.94
Julius;Berger;60(R.W.  ‚Wi.  Turnowsky);-;-;-;19.3.43;-;MBNR.1.PER.95
Riwka;Berger;30.3,53  iachruf(Senator);-;-;-;-;-;MBNR.1.PER.96
Hugo;Bergman(n);60(R.W.);Prof.;-;-;24.12.43;-;MBNR.1.PER.97
;Bergmann;Arthur;-;Nachruf;-;31.10.58;-;MBNR.1.PER.98
kabb.Dr.Jehuda;Bergmann;70;-;-;-;1.9.44;-;MBNR.1.PER.99
Rudolf;Bergmann;;-;Nachruf;-;3.3.61;-;MBNR.1.PER.100
Elisabeth;Berener;4/1950  3esuch  in  Israel;-;-;-;-;-;MBNR.1.PER.101
Henri;Bergson;10.1,41  Leitartikel;-;Nachruf;-;-;-;MBNR.1.PER.102
Raw;Berlin(Bar-Ilan);Meir  29,.4.49  ilachruf;-;-;-;-;-;MBNR.1.PER.103
Alfred;Berliner;50;-;-;-;2.7.43;-;MBNR.1.PER.104
kilhelm;Berliner;Febr.36  Tod;Dr.;-;-;-;-;MBNR.1.PER.105
Graf;Bernadotte;"Folke  24,9.48  iachruf(""Observer"")";-;-;-;-;-;MBNR.1.PER.106
Adolf;Bernay;wachruf;Dr.;-;-;3.11.44;-;MBNR.1.PER.107
Arnold;Berney;lachruf  (R.Simon);Dr.;-;-;7.1.44;-;MBNR.1.PER.108
Georg;Bernhard;;-;Nachruf;-;18.2.44;-;MBNR.1.PER.109
Hax;Bernhardt;2.5.Al  Tod;Dr.;-;-;-;-;MBNR.1.PER.110
Otto;Bernheimer;;-;Nachruf;-;29.7.60;-;MBNR.1.PER.111
;Bernstein;Fritz  (Kup.Cholim  Makkabi)  70;-;-;-;9.6.61;-;MBNR.1.PER.112
Perez;Bernstein;Fritz  (geb.1890);-;-;-;-;-;MBNR.1.PER.113
Craf;Bernstorff;Albrecht  (+1945)  üachruf;-;-;-;15.2.46;-;MBNR.1.PER.114
Joshua;Bertonov;(Habimah)  22.5,59  80;-;-;-;-;-;MBNR.1.PER.115
Ernst;Bevin;18/1951  Zum  Tode  Bs.(R.W.);-;-;-;-;-;MBNR.1.PER.116
Hans;Beyth;lachruf(Landauer);-;-;-;2.1.48;-;MBNR.1.PER.117
Erna;Bial;(Künstlerin)  25/8.44  Tod;-;-;-;-;-;MBNR.1.PER.118
Chaim;Bialik;Nachman  Juli  34  Tod;-;-;-;-;-;MBNR.1.PER.119
Lr.Franz;Bienenfeld;kudolf  70;-;-;-;12.10.56;-;MBNR.1.PER.120
40ritz;Bileski;sachruf(S.Hirsch);Dr.;-;-;15.2.46;-;MBNR.1.PER.121
Arthur;Biram;80  (Herlitz,l.Mayer);Dr.;-;-;15.8.58;-;MBNR.1.PER.122
Max;Birk;(Natania)  Tod;Dr.;-;-;30.4.43;-;MBNR.1.PER.123
Arthur;Birnbaum;Dr  Arthur;Dr.;-;-;-;-;MBNR.1.PER.124
Nathan;Birnbaun;(+1937);-;-;-;-;-;MBNR.1.PER.125
Nathan;Bistrizky;Bs  Josephus  in  Habimah;-;-;-;4.4.41;-;MBNR.1.PER.126
Justizrat;Blau;Julius(Frankft)  uachruf(E.Nayer);-;-;-;10.3.39;-;MBNR.1.PER.127
Dr.I.;Bleichrode;Rabb  Dr.I.;Rabb.;-;-;-;-;MBNR.1.PER.128
Assaf;Bloch;Ernst  33/1950;Dr.;Nachruf;-;-;-;MBNR.1.PER.129
David;Bloch;lachruf;-;-;-;26.4.46;-;MBNR.1.PER.130
;Bloch;Ernest(Komponist)  29,7,55  75;-;-;-;-;-;MBNR.1.PER.131
telene;Bloch;90;Dr.;-;-;1.11.57;-;MBNR.1.PER.132
;Bloch;"Joseph  (""Soz.Monatshefte"")  in  memoriam";-;-;-;18.1.57;-;MBNR.1.PER.133
Werner;Bloch;(H.T.);Dr.;-;-;8.4.60;-;MBNR.1.PER.134
L&on;Blun;15/1950    Hachruf;-;-;-;-;-;MBNR.1.PER.135
Ötto;Blum;21,8,59;-;Nachruf;-;-;-;MBNR.1.PER.136
Richard;Blum;70  (E,Auerbach);Dr.;-;-;9.7.48;-;MBNR.1.PER.137
Dr.Samuel;Blum;Ch.  60;Rabb.;-;-;20.8.43;-;MBNR.1.PER.138
Kurt;Blumenfeld;12,1.40  B,in  USA;-;-;-;-;-;MBNR.1.PER.139
;Landsberg;L.lierrmann,  Friedenthal).;-;-;-;-;-;MBNR.1.PER.140
;Herlitz;Landauer,  Baeck);-;-;-;-;-;MBNR.1.PER.141
Samuel;Blumenthal;;-;Nachruf;-;3.1.47;-;MBNR.1.PER.142
Siegfr.Schalom;Blumenthal;ilachruf;-;-;-;15.7.49;-;MBNR.1.PER.143
Frof.Fritz;Bodenheimer;Simon;-;Nachruf;-;6.11.59;-;MBNR.1.PER.144
Nax;Bodenheimer;J.  75;Dr.;-;-;22.3.40;-;MBNR.1.PER.145
Ruth;Rodenheimer;Tod;-;-;-;3.10.41;-;MBNR.1.PER.146
Rosa;Bodenheimer;Ma  i  38  Nachruf(Rahel  Ütraus);-;-;-;-;-;MBNR.1.PER.147
Adolf;Böhm;(R.W.);-;Nachruf;-;9.5.41;-;MBNR.1.PER.148
Erich;Böhm;(Herzlia)  60;-;-;-;10.5.44;-;MBNR.1.PER.149
Paul;Bonem;31.8,45  4achruf;Dr.;-;-;-;-;MBNR.1.PER.150
Hugo;Bondi;;-;Nachruf;-;27.2.48;-;MBNR.1.PER.151
Alfred;Bonne;60  (E.Simon);Prof.;-;-;27.11.59;-;MBNR.1.PER.152
#rederick;Borchard;W.;-;Nachruf;-;4.5.56;-;MBNR.1.PER.153
Hermann;Borchardt;17/1951  Tod;Dr.;-;-;-;-;MBNR.1.PER.154
;Brandeis;Louis;-;Nachruf;-;10.10.41;-;MBNR.1.PER.155
Dbr.örich;Brauer;(Ethnologe)  Hachruf;-;-;-;15.5.42;-;MBNR.1.PER.156
Siegfried;Braun;70;Dr.;-;-;4.11.55;-;MBNR.1.PER.157
Bertolt;Brecht;Nachrufe;-;-;-;24.8.56;-;MBNR.1.PER.158
Josef;Brenner;Chaim(Dichter)  (+1921)(G.Krojanker);-;-;-;1.5.42;-;MBNR.1.PER.159
lieir;Brenner;9/1950  To;-;-;-;-;-;MBNR.1.PER.160
Dr.Shmuel;Brettschneider;Tod;Prof.;-;-;3.8.45;-;MBNR.1.PER.161
Louis;Brisch;(1906  Alijah)  ilachruf  (E.Auerbach);-;-;-;25.6.43;-;MBNR.1.PER.162
;Britschgi-Schimmer;Ina  üachruf;-;-;-;29.7.49;-;MBNR.1.PER.163
Hermann;Broch;29/1951  Tod;-;-;-;-;-;MBNR.1.PER.164
ilax;Brod;60  (H.Bergman);Dr.;-;-;26.5.44;-;MBNR.1.PER.165
selig;Brodetzki;Nachruf(R.W.);Prof.;-;-;28.5.54;-;MBNR.1.PER.166
Isy;Brodinger;70;-;-;-;9.4.54;-;MBNR.1.PER.167
Friedrich;Brodnitz;S.  60;Dr.;-;-;25.9.59;-;MBNR.1.PER.168
lleinr.Chaim;Brody;;Prof.;Nachruf;-;15.5.42;-;MBNR.1.PER.169
Chaim;Bruck;(Emek)  März  37  Tod;-;-;-;-;-;MBNR.1.PER.170
G.;Brückmann;Nachruf(Prof.vertheimer);Dr.;-;-;17.9.48;-;MBNR.1.PER.171
Arthur;Brünn;Abr,.  60;Dr.;-;-;4.5.45;-;MBNR.1.PER.172
;Briinn;Trude;-;Nachruf;-;25.3.56;-;MBNR.1.PER.173
Wilhelm;Brünn;Seew;Dr.;Nachruf;-;15.7.49;-;MBNR.1.PER.174
Martin;Buber;Prof  Martin;Prof.;-;-;-;-;MBNR.1.PER.175
;ar;Ka  75  (Simon,RW,Senator,Bereman);-;-;-;6.2.53;-;MBNR.1.PER.176
Paula;Buber;llachruf(Bergman);-;-;-;22.8.58;-;MBNR.1.PER.177
Edith;Buchholz;Juli  36  :;-;Nachruf;-;-;-;MBNR.1.PER.178
Erich;Buchholz;(+  1932)  (,.R-  ‚12.1  3a  ar,  );-;-;-;-;-;MBNR.1.PER.179
Joseph;Budko;;-;Nachruf;-;19.7.40;-;MBNR.1.PER.180
Ralph;Bunche;(UNO)  39/1950  Nobelpreis;Dr.;-;-;-;-;MBNR.1.PER.181
Adolf;Busch;33/1951  60;-;-;-;-;-;MBNR.1.PER.182
;Busch;Fritz(Dirigent)  39/1951;-;Nachruf;-;-;-;MBNR.1.PER.183
Abr.;Buschke;(Berlin)  Tod;Prof.;-;-;2.3.45;-;MBNR.1.PER.184
teorg;Byck;sachruf;-;-;-;14.1.57;-;MBNR.1.PER.185
ftuth;Cahane-Salinger;;-;Nachruf;-;15.7.60;-;MBNR.1.PER.186
Rudolf;Callmann;(N.York)  .  65;-;-;-;25.10.57;-;MBNR.1.PER.187
loses;Calvary;(E.3imon);-;Nachruf;-;28.1.44;-;MBNR.1.PER.188
Albert;Canus;Nachruf(H.T.);-;-;-;15.1.60;-;MBNR.1.PER.189
Dr.Erhraim;Carlebach;Okt.36;Rabb.;Nachruf;-;-;-;MBNR.1.PER.190
A.;Caro;;Dr.;Nachruf;-;21.10.49;-;MBNR.1.PER.191
Geheimrat;Casper;Leo;-;Nachruf;-;10.4.59;-;MBNR.1.PER.192
Toni;Cassirer-Bondi;(D.Baungardt);-;Nachruf;-;17.3.61;-;MBNR.1.PER.193
Umberto;Cassuto;1/1952  Nlachruf(Plessner);Prof.;-;-;-;-;MBNR.1.PER.194
Batschewa;Chaikin;"*""achruf";-;-;-;26.4.4656;-;MBNR.1.PER.195
Trude;Chaim;(Bildhauerin)  23/1952;-;Nachruf;-;-;-;MBNR.1.PER.196
Rahb.Zwi;Chajes;Rahb  Zwi;-;-;-;-;-;MBNR.1.PER.197
Hadassah;Chsmitzer;20.3,53  70;-;-;-;-;-;MBNR.1.PER.198
Joshua;Chankin;;-;Nachruf;-;16.11.45;-;MBNR.1.PER.199
Heymann;Chone;70;Rabb.;-;-;28.1.44;-;MBNR.1.PER.200
Hermann;Cohen;loo.Geburtstag(M.Buber);Prof.;-;-;24.7.42;-;MBNR.1.PER.201
Jacob;Cohen;(Schriftsteller);-;Nachruf;-;2.12.60;-;MBNR.1.PER.202
Agathe;Cohn;;Dr.;Nachruf;-;18.8.43;-;MBNR.1.PER.203
Benno;Cohn;(KJV)  50(W.Gross?);-;-;-;6.10.44;-;MBNR.1.PER.204
Elchanan;Cohn;(Pardess  Channa)  60;-;-;-;18.9.59;-;MBNR.1.PER.205
Dr.Emil;Cohn;;Rabb.;Nachruf;-;2.4.48;-;MBNR.1.PER.206
Erich;Cohn;(KJV)  August  37  50;-;-;-;-;-;MBNR.1.PER.207
Erich;Cohn;60;-;-;-;5.5.61;-;MBNR.1.PER.208
Heinz;Cohn;;Dr.;Nachruf;-;10.10.58;-;MBNR.1.PER.209
Leo;Cohn;(KJV,Ramot  Hashawim);Dr.;Nachruf;-;28.1.55;-;MBNR.1.PER.210
Ludwig;Cohn;80;-;-;-;1.3.57;-;MBNR.1.PER.211
ax;Cohn;(Tel-Aviv)  Juni  37;-;Nachruf;-;-;-;MBNR.1.PER.212
;Cohn;Oskar  Benni;-;Nachruf;-;-;-;MBNR.1.PER.213
;Cohn;Otto(Königsberg)  10,3.39  (Blumenfeld);-;Nachruf;-;-;-;MBNR.1.PER.214
Ephraim;Cohn-Reis;20,1.61  (geb.1863)Erinnerungen.;-;-;-;-;-;MBNR.1.PER.215
