first name;last name;other;title;nachruf/tode;jub;issue_date;Geburt/Tod;ID
;Simon;Prof.lirnst  A.  (KJV)Nachruf  Prof.Amir.X/88,5.5;-;-;-;-;-;MBNR.12.PER.132
Hermann;Steinitz;"(KJV)  statt  seine  Rez.v.""Der  We:";Prof.;Nachruf;-;-;-;MBNR.12.PER.133
8.10;v/90;;-;-;-;-;-;MBNR.12.PER.134
;üternberg;5188  Interview  VI/90  8.;-;-;-;-;-;MBNR.12.PER.135
Michael;Strauss;(Konzern  f.Milchprodukte)(Canaan)  IX/89,8.6;-;-;-;-;-;MBNR.12.PER.136
Manfred;Sturmann;Nachruf(Gerling)  11/89,8.6;-;-;-;-;-;MBNR.12.PER.137
Fritz;Tau;Nachruf(Stransky)  VIII/87,8.5;-;-;-;-;-;MBNR.12.PER.138
lirnst;Toller;50.Todestag(Freeden)  V/89,9.9  £.;-;-;-;-;-;MBNR.12.PER.139
Hans;Tramer;10.Todestag(lstreicher)  XI1/88,8.3;Dr.;-;-;-;-;MBNR.12.PER.140
irnst;Tryfus;Nachruf(Alsberg)  VI/90,8S.5;Dr.;-;-;-;-;MBNR.12.PER.141
Kurt;Tucholsky;;-;-;-;-;-;MBNR.12.PER.142
Kurt;Waldheim;in  Isra-  il'reeden)  VII/88,%.3;Dr.;-;-;-;-;MBNR.12.PER.143
Joseph;Malk;;Prof.;-;-;-;-;MBNR.12.PER.144
Gerhard;Wallbach;VI/90,8.2;-;Todesanzeige;-;-;-;MBNR.12.PER.145
Stef.Industrieller;Wertheimer;Stef  Industrieller;-;-;-;-;-;MBNR.12.PER.146
Eli;Wiesel;Bleiben  wir  Juden  ein  Volk?  IV/87,3.5  f£.;-;-;-;-;-;MBNR.12.PER.147
Curt;Wormann;90  (Alsberg)  XAIL/89,8.4;Prof.;-;-;-;-;MBNR.12.PER.148
Leopold;Zunz;100.Todestag(Lowenthal)  IV/86,3.16.;Dr.;-;-;-;-;MBNR.12.PER.149
Arnold;Zweig;100.Geburtstag(Ben-Chorin)  XI/87,8.4  £.;-;-;-;-;-;MBNR.12.PER.150
